,acceleration,cylinders,displacement,horsepower,model_year,mpg,name,origin,weight
39,11.5,8,400.0,175.0,71,14.0,pontiac catalina brougham,usa,4464
40,13.5,8,351.0,153.0,71,14.0,ford galaxie 500,usa,4154
41,13.0,8,318.0,150.0,71,14.0,plymouth fury iii,usa,4096
42,11.5,8,383.0,180.0,71,12.0,dodge monaco (sw),usa,4955
43,12.0,8,400.0,170.0,71,13.0,ford country squire (sw),usa,4746
44,12.0,8,400.0,175.0,71,13.0,pontiac safari (sw),usa,5140
45,13.5,6,258.0,110.0,71,18.0,amc hornet sportabout (sw),usa,2962
46,19.0,4,140.0,72.0,71,22.0,chevrolet vega (sw),usa,2408
47,15.0,6,250.0,100.0,71,19.0,pontiac firebird,usa,3282
48,14.5,6,250.0,88.0,71,18.0,ford mustang,usa,3139
49,14.0,4,122.0,86.0,71,23.0,mercury capri 2000,usa,2220
50,14.0,4,116.0,90.0,71,28.0,opel 1900,europe,2123
51,19.5,4,79.0,70.0,71,30.0,peugeot 304,europe,2074
52,14.5,4,88.0,76.0,71,30.0,fiat 124b,europe,2065
53,19.0,4,71.0,65.0,71,31.0,toyota corolla 1200,japan,1773
54,18.0,4,72.0,69.0,71,35.0,datsun 1200,japan,1613
55,19.0,4,97.0,60.0,71,27.0,volkswagen model 111,europe,1834
56,20.5,4,91.0,70.0,71,26.0,plymouth cricket,usa,1955
57,15.5,4,113.0,95.0,72,24.0,toyota corona hardtop,japan,2278
58,17.0,4,97.5,80.0,72,25.0,dodge colt hardtop,usa,2126
59,23.5,4,97.0,54.0,72,23.0,volkswagen type 3,europe,2254
60,19.5,4,140.0,90.0,72,20.0,chevrolet vega,usa,2408
61,16.5,4,122.0,86.0,72,21.0,ford pinto runabout,usa,2226
62,12.0,8,350.0,165.0,72,13.0,chevrolet impala,usa,4274
63,12.0,8,400.0,175.0,72,14.0,pontiac catalina,usa,4385
64,13.5,8,318.0,150.0,72,15.0,plymouth fury iii,usa,4135
65,13.0,8,351.0,153.0,72,14.0,ford galaxie 500,usa,4129
66,11.5,8,304.0,150.0,72,17.0,amc ambassador sst,usa,3672
67,11.0,8,429.0,208.0,72,11.0,mercury marquis,usa,4633
68,13.5,8,350.0,155.0,72,13.0,buick lesabre custom,usa,4502
69,13.5,8,350.0,160.0,72,12.0,oldsmobile delta 88 royale,usa,4456
70,12.5,8,400.0,190.0,72,13.0,chrysler newport royal,usa,4422
71,13.5,3,70.0,97.0,72,19.0,mazda rx2 coupe,japan,2330
72,12.5,8,304.0,150.0,72,15.0,amc matador (sw),usa,3892
73,14.0,8,307.0,130.0,72,13.0,chevrolet chevelle concours (sw),usa,4098
74,16.0,8,302.0,140.0,72,13.0,ford gran torino (sw),usa,4294
75,14.0,8,318.0,150.0,72,14.0,plymouth satellite custom (sw),usa,4077
76,14.5,4,121.0,112.0,72,18.0,volvo 145e (sw),europe,2933
77,18.0,4,121.0,76.0,72,22.0,volkswagen 411 (sw),europe,2511
78,19.5,4,120.0,87.0,72,21.0,peugeot 504 (sw),europe,2979
79,18.0,4,96.0,69.0,72,26.0,renault 12 (sw),europe,2189
80,16.0,4,122.0,86.0,72,22.0,ford pinto (sw),usa,2395
81,17.0,4,97.0,92.0,72,28.0,datsun 510 (sw),japan,2288
82,14.5,4,120.0,97.0,72,23.0,toyouta corona mark ii (sw),japan,2506
83,15.0,4,98.0,80.0,72,28.0,dodge colt (sw),usa,2164
84,16.5,4,97.0,88.0,72,27.0,toyota corolla 1600 (sw),japan,2100
85,13.0,8,350.0,175.0,73,13.0,buick century 350,usa,4100
86,11.5,8,304.0,150.0,73,14.0,amc matador,usa,3672
87,13.0,8,350.0,145.0,73,13.0,chevrolet malibu,usa,3988
88,14.5,8,302.0,137.0,73,14.0,ford gran torino,usa,4042
89,12.5,8,318.0,150.0,73,15.0,dodge coronet custom,usa,3777
90,11.5,8,429.0,198.0,73,12.0,mercury marquis brougham,usa,4952
91,12.0,8,400.0,150.0,73,13.0,chevrolet caprice classic,usa,4464
92,13.0,8,351.0,158.0,73,13.0,ford ltd,usa,4363
93,14.5,8,318.0,150.0,73,14.0,plymouth fury gran sedan,usa,4237
94,11.0,8,440.0,215.0,73,13.0,chrysler new yorker brougham,usa,4735
95,11.0,8,455.0,225.0,73,12.0,buick electra 225 custom,usa,4951
96,11.0,8,360.0,175.0,73,13.0,amc ambassador brougham,usa,3821
97,16.5,6,225.0,105.0,73,18.0,plymouth valiant,usa,3121
98,18.0,6,250.0,100.0,73,16.0,chevrolet nova custom,usa,3278
99,16.0,6,232.0,100.0,73,18.0,amc hornet,usa,2945
100,16.5,6,250.0,88.0,73,18.0,ford maverick,usa,3021
101,16.0,6,198.0,95.0,73,23.0,plymouth duster,usa,2904
102,21.0,4,97.0,46.0,73,26.0,volkswagen super beetle,europe,1950
103,14.0,8,400.0,150.0,73,11.0,chevrolet impala,usa,4997
104,12.5,8,400.0,167.0,73,12.0,ford country,usa,4906
105,13.0,8,360.0,170.0,73,13.0,plymouth custom suburb,usa,4654
106,12.5,8,350.0,180.0,73,12.0,oldsmobile vista cruiser,usa,4499
107,15.0,6,232.0,100.0,73,18.0,amc gremlin,usa,2789
108,19.0,4,97.0,88.0,73,20.0,toyota carina,japan,2279
109,19.5,4,140.0,72.0,73,21.0,chevrolet vega,usa,2401
110,16.5,4,108.0,94.0,73,22.0,datsun 610,japan,2379
111,13.5,3,70.0,90.0,73,18.0,maxda rx3,japan,2124
112,18.5,4,122.0,85.0,73,19.0,ford pinto,usa,2310
113,14.0,6,155.0,107.0,73,21.0,mercury capri v6,usa,2472
114,15.5,4,98.0,90.0,73,26.0,fiat 124 sport coupe,europe,2265
115,13.0,8,350.0,145.0,73,15.0,chevrolet monte carlo s,usa,4082
116,9.5,8,400.0,230.0,73,16.0,pontiac grand prix,usa,4278
117,19.5,4,68.0,49.0,73,29.0,fiat 128,europe,1867
118,15.5,4,116.0,75.0,73,24.0,opel manta,europe,2158
119,14.0,4,114.0,91.0,73,20.0,audi 100ls,europe,2582
120,15.5,4,121.0,112.0,73,19.0,volvo 144ea,europe,2868
121,11.0,8,318.0,150.0,73,15.0,dodge dart custom,usa,3399
122,14.0,4,121.0,110.0,73,24.0,saab 99le,europe,2660
123,13.5,6,156.0,122.0,73,20.0,toyota mark ii,japan,2807
124,11.0,8,350.0,180.0,73,11.0,oldsmobile omega,usa,3664
125,16.5,6,198.0,95.0,74,20.0,plymouth duster,usa,3102
126,17.0,6,200.0,,74,21.0,ford maverick,usa,2875
127,16.0,6,232.0,100.0,74,19.0,amc hornet,usa,2901
128,17.0,6,250.0,100.0,74,15.0,chevrolet nova,usa,3336
129,19.0,4,79.0,67.0,74,31.0,datsun b210,japan,1950
130,16.5,4,122.0,80.0,74,26.0,ford pinto,usa,2451
131,21.0,4,71.0,65.0,74,32.0,toyota corolla 1200,japan,1836
132,17.0,4,140.0,75.0,74,25.0,chevrolet vega,usa,2542
133,17.0,6,250.0,100.0,74,16.0,chevrolet chevelle malibu classic,usa,3781
134,18.0,6,258.0,110.0,74,16.0,amc matador,usa,3632
135,16.5,6,225.0,105.0,74,18.0,plymouth satellite sebring,usa,3613
136,14.0,8,302.0,140.0,74,16.0,ford gran torino,usa,4141
137,14.5,8,350.0,150.0,74,13.0,buick century luxus (sw),usa,4699
138,13.5,8,318.0,150.0,74,14.0,dodge coronet custom (sw),usa,4457
139,16.0,8,302.0,140.0,74,14.0,ford gran torino (sw),usa,4638
140,15.5,8,304.0,150.0,74,14.0,amc matador (sw),usa,4257
141,16.5,4,98.0,83.0,74,29.0,audi fox,europe,2219
142,15.5,4,79.0,67.0,74,26.0,volkswagen dasher,europe,1963
143,14.5,4,97.0,78.0,74,26.0,opel manta,europe,2300
144,16.5,4,76.0,52.0,74,31.0,toyota corona,japan,1649
145,19.0,4,83.0,61.0,74,32.0,datsun 710,japan,2003
146,14.5,4,90.0,75.0,74,28.0,dodge colt,usa,2125
147,15.5,4,90.0,75.0,74,24.0,fiat 128,europe,2108
148,14.0,4,116.0,75.0,74,26.0,fiat 124 tc,europe,2246
149,15.0,4,120.0,97.0,74,24.0,honda civic,japan,2489
150,15.5,4,108.0,93.0,74,26.0,subaru,japan,2391
151,16.0,4,79.0,67.0,74,31.0,fiat x1.9,europe,2000
152,16.0,6,225.0,95.0,75,19.0,plymouth valiant custom,usa,3264
153,16.0,6,250.0,105.0,75,18.0,chevrolet nova,usa,3459
154,21.0,6,250.0,72.0,75,15.0,mercury monarch,usa,3432
155,19.5,6,250.0,72.0,75,15.0,ford maverick,usa,3158
156,11.5,8,400.0,170.0,75,16.0,pontiac catalina,usa,4668
157,14.0,8,350.0,145.0,75,15.0,chevrolet bel air,usa,4440
158,14.5,8,318.0,150.0,75,16.0,plymouth grand fury,usa,4498
159,13.5,8,351.0,148.0,75,14.0,ford ltd,usa,4657
160,21.0,6,231.0,110.0,75,17.0,buick century,usa,3907
161,18.5,6,250.0,105.0,75,16.0,chevroelt chevelle malibu,usa,3897
162,19.0,6,258.0,110.0,75,15.0,amc matador,usa,3730
163,19.0,6,225.0,95.0,75,18.0,plymouth fury,usa,3785
164,15.0,6,231.0,110.0,75,21.0,buick skyhawk,usa,3039
165,13.5,8,262.0,110.0,75,20.0,chevrolet monza 2+2,usa,3221
166,12.0,8,302.0,129.0,75,13.0,ford mustang ii,usa,3169
167,16.0,4,97.0,75.0,75,29.0,toyota corolla,japan,2171
168,17.0,4,140.0,83.0,75,23.0,ford pinto,usa,2639
169,16.0,6,232.0,100.0,75,20.0,amc gremlin,usa,2914
170,18.5,4,140.0,78.0,75,23.0,pontiac astro,usa,2592
171,13.5,4,134.0,96.0,75,24.0,toyota corona,japan,2702
172,16.5,4,90.0,71.0,75,25.0,volkswagen dasher,europe,2223
173,17.0,4,119.0,97.0,75,24.0,datsun 710,japan,2545
174,14.5,6,171.0,97.0,75,18.0,ford pinto,usa,2984
175,14.0,4,90.0,70.0,75,29.0,volkswagen rabbit,europe,1937
176,17.0,6,232.0,90.0,75,19.0,amc pacer,usa,3211
177,15.0,4,115.0,95.0,75,23.0,audi 100ls,europe,2694
178,17.0,4,120.0,88.0,75,23.0,peugeot 504,europe,2957
179,14.5,4,121.0,98.0,75,22.0,volvo 244dl,europe,2945
180,13.5,4,121.0,115.0,75,25.0,saab 99le,europe,2671
181,17.5,4,91.0,53.0,75,33.0,honda civic cvcc,japan,1795
182,15.5,4,107.0,86.0,76,28.0,fiat 131,europe,2464
183,16.9,4,116.0,81.0,76,25.0,opel 1900,europe,2220
184,14.9,4,140.0,92.0,76,25.0,capri ii,usa,2572
185,17.7,4,98.0,79.0,76,26.0,dodge colt,usa,2255
186,15.3,4,101.0,83.0,76,27.0,renault 12tl,europe,2202
187,13.0,8,305.0,140.0,76,17.5,chevrolet chevelle malibu classic,usa,4215
188,13.0,8,318.0,150.0,76,16.0,dodge coronet brougham,usa,4190
189,13.9,8,304.0,120.0,76,15.5,amc matador,usa,3962
190,12.8,8,351.0,152.0,76,14.5,ford gran torino,usa,4215
191,15.4,6,225.0,100.0,76,22.0,plymouth valiant,usa,3233
192,14.5,6,250.0,105.0,76,22.0,chevrolet nova,usa,3353
193,17.6,6,200.0,81.0,76,24.0,ford maverick,usa,3012
194,17.6,6,232.0,90.0,76,22.5,amc hornet,usa,3085
195,22.2,4,85.0,52.0,76,29.0,chevrolet chevette,usa,2035
196,22.1,4,98.0,60.0,76,24.5,chevrolet woody,usa,2164
197,14.2,4,90.0,70.0,76,29.0,vw rabbit,europe,1937
198,17.4,4,91.0,53.0,76,33.0,honda civic,japan,1795
199,17.7,6,225.0,100.0,76,20.0,dodge aspen se,usa,3651
200,21.0,6,250.0,78.0,76,18.0,ford granada ghia,usa,3574
201,16.2,6,250.0,110.0,76,18.5,pontiac ventura sj,usa,3645
202,17.8,6,258.0,95.0,76,17.5,amc pacer d/l,usa,3193
203,12.2,4,97.0,71.0,76,29.5,volkswagen rabbit,europe,1825
204,17.0,4,85.0,70.0,76,32.0,datsun b-210,japan,1990
205,16.4,4,97.0,75.0,76,28.0,toyota corolla,japan,2155
206,13.6,4,140.0,72.0,76,26.5,ford pinto,usa,2565
207,15.7,4,130.0,102.0,76,20.0,volvo 245,europe,3150
208,13.2,8,318.0,150.0,76,13.0,plymouth volare premier v8,usa,3940
209,21.9,4,120.0,88.0,76,19.0,peugeot 504,europe,3270
210,15.5,6,156.0,108.0,76,19.0,toyota mark ii,japan,2930
211,16.7,6,168.0,120.0,76,16.5,mercedes-benz 280s,europe,3820
212,12.1,8,350.0,180.0,76,16.5,cadillac seville,usa,4380
213,12.0,8,350.0,145.0,76,13.0,chevy c10,usa,4055
214,15.0,8,302.0,130.0,76,13.0,ford f108,usa,3870
215,14.0,8,318.0,150.0,76,13.0,dodge d100,usa,3755
216,18.5,4,98.0,68.0,77,31.5,honda accord cvcc,japan,2045
217,14.8,4,111.0,80.0,77,30.0,buick opel isuzu deluxe,usa,2155
218,18.6,4,79.0,58.0,77,36.0,renault 5 gtl,europe,1825
219,15.5,4,122.0,96.0,77,25.5,plymouth arrow gs,usa,2300
220,16.8,4,85.0,70.0,77,33.5,datsun f-10 hatchback,japan,1945
221,12.5,8,305.0,145.0,77,17.5,chevrolet caprice classic,usa,3880
222,19.0,8,260.0,110.0,77,17.0,oldsmobile cutlass supreme,usa,4060
223,13.7,8,318.0,145.0,77,15.5,dodge monaco brougham,usa,4140
224,14.9,8,302.0,130.0,77,15.0,mercury cougar brougham,usa,4295
225,16.4,6,250.0,110.0,77,17.5,chevrolet concours,usa,3520
226,16.9,6,231.0,105.0,77,20.5,buick skylark,usa,3425
227,17.7,6,225.0,100.0,77,19.0,plymouth volare custom,usa,3630
228,19.0,6,250.0,98.0,77,18.5,ford granada,usa,3525
229,11.1,8,400.0,180.0,77,16.0,pontiac grand prix lj,usa,4220
230,11.4,8,350.0,170.0,77,15.5,chevrolet monte carlo landau,usa,4165
231,12.2,8,400.0,190.0,77,15.5,chrysler cordoba,usa,4325
232,14.5,8,351.0,149.0,77,16.0,ford thunderbird,usa,4335
233,14.5,4,97.0,78.0,77,29.0,volkswagen rabbit custom,europe,1940
234,16.0,4,151.0,88.0,77,24.5,pontiac sunbird coupe,usa,2740
235,18.2,4,97.0,75.0,77,26.0,toyota corolla liftback,japan,2265
236,15.8,4,140.0,89.0,77,25.5,ford mustang ii 2+2,usa,2755
237,17.0,4,98.0,63.0,77,30.5,chevrolet chevette,usa,2051
238,15.9,4,98.0,83.0,77,33.5,dodge colt m/m,usa,2075
239,16.4,4,97.0,67.0,77,30.0,subaru dl,japan,1985
240,14.1,4,97.0,78.0,77,30.5,volkswagen dasher,europe,2190
241,14.5,6,146.0,97.0,77,22.0,datsun 810,japan,2815
242,12.8,4,121.0,110.0,77,21.5,bmw 320i,europe,2600
243,13.5,3,80.0,110.0,77,21.5,mazda rx-4,japan,2720
244,21.5,4,90.0,48.0,78,43.1,volkswagen rabbit custom diesel,europe,1985
245,14.4,4,98.0,66.0,78,36.1,ford fiesta,usa,1800
246,19.4,4,78.0,52.0,78,32.8,mazda glc deluxe,japan,1985
247,18.6,4,85.0,70.0,78,39.4,datsun b210 gx,japan,2070
248,16.4,4,91.0,60.0,78,36.1,honda civic cvcc,japan,1800
249,15.5,8,260.0,110.0,78,19.9,oldsmobile cutlass salon brougham,usa,3365
250,13.2,8,318.0,140.0,78,19.4,dodge diplomat,usa,3735
251,12.8,8,302.0,139.0,78,20.2,mercury monarch ghia,usa,3570
252,19.2,6,231.0,105.0,78,19.2,pontiac phoenix lj,usa,3535
253,18.2,6,200.0,95.0,78,20.5,chevrolet malibu,usa,3155
254,15.8,6,200.0,85.0,78,20.2,ford fairmont (auto),usa,2965
255,15.4,4,140.0,88.0,78,25.1,ford fairmont (man),usa,2720
256,17.2,6,225.0,100.0,78,20.5,plymouth volare,usa,3430
257,17.2,6,232.0,90.0,78,19.4,amc concord,usa,3210
258,15.8,6,231.0,105.0,78,20.6,buick century special,usa,3380
259,16.7,6,200.0,85.0,78,20.8,mercury zephyr,usa,3070
260,18.7,6,225.0,110.0,78,18.6,dodge aspen,usa,3620
261,15.1,6,258.0,120.0,78,18.1,amc concord d/l,usa,3410
262,13.2,8,305.0,145.0,78,19.2,chevrolet monte carlo landau,usa,3425
263,13.4,6,231.0,165.0,78,17.7,buick regal sport coupe (turbo),usa,3445
264,11.2,8,302.0,139.0,78,18.1,ford futura,usa,3205
265,13.7,8,318.0,140.0,78,17.5,dodge magnum xe,usa,4080
266,16.5,4,98.0,68.0,78,30.0,chevrolet chevette,usa,2155
267,14.2,4,134.0,95.0,78,27.5,toyota corona,japan,2560
268,14.7,4,119.0,97.0,78,27.2,datsun 510,japan,2300
269,14.5,4,105.0,75.0,78,30.9,dodge omni,usa,2230
270,14.8,4,134.0,95.0,78,21.1,toyota celica gt liftback,japan,2515
271,16.7,4,156.0,105.0,78,23.2,plymouth sapporo,usa,2745
272,17.6,4,151.0,85.0,78,23.8,oldsmobile starfire sx,usa,2855
273,14.9,4,119.0,97.0,78,23.9,datsun 200-sx,japan,2405
274,15.9,5,131.0,103.0,78,20.3,audi 5000,europe,2830
275,13.6,6,163.0,125.0,78,17.0,volvo 264gl,europe,3140
276,15.7,4,121.0,115.0,78,21.6,saab 99gle,europe,2795
277,15.8,6,163.0,133.0,78,16.2,peugeot 604sl,europe,3410
278,14.9,4,89.0,71.0,78,31.5,volkswagen scirocco,europe,1990
279,16.6,4,98.0,68.0,78,29.5,honda accord lx,japan,2135
280,15.4,6,231.0,115.0,79,21.5,pontiac lemans v6,usa,3245
281,18.2,6,200.0,85.0,79,19.8,mercury zephyr 6,usa,2990
282,17.3,4,140.0,88.0,79,22.3,ford fairmont 4,usa,2890
283,18.2,6,232.0,90.0,79,20.2,amc concord dl 6,usa,3265
284,16.6,6,225.0,110.0,79,20.6,dodge aspen 6,usa,3360
285,15.4,8,305.0,130.0,79,17.0,chevrolet caprice classic,usa,3840
286,13.4,8,302.0,129.0,79,17.6,ford ltd landau,usa,3725
287,13.2,8,351.0,138.0,79,16.5,mercury grand marquis,usa,3955
288,15.2,8,318.0,135.0,79,18.2,dodge st. regis,usa,3830
289,14.9,8,350.0,155.0,79,16.9,buick estate wagon (sw),usa,4360
290,14.3,8,351.0,142.0,79,15.5,ford country squire (sw),usa,4054
291,15.0,8,267.0,125.0,79,19.2,chevrolet malibu classic (sw),usa,3605
292,13.0,8,360.0,150.0,79,18.5,chrysler lebaron town @ country (sw),usa,3940
293,14.0,4,89.0,71.0,79,31.9,vw rabbit custom,europe,1925
294,15.2,4,86.0,65.0,79,34.1,maxda glc deluxe,japan,1975
295,14.4,4,98.0,80.0,79,35.7,dodge colt hatchback custom,usa,1915
296,15.0,4,121.0,80.0,79,27.4,amc spirit dl,usa,2670
297,20.1,5,183.0,77.0,79,25.4,mercedes benz 300d,europe,3530
298,17.4,8,350.0,125.0,79,23.0,cadillac eldorado,usa,3900
299,24.8,4,141.0,71.0,79,27.2,peugeot 504,europe,3190
300,22.2,8,260.0,90.0,79,23.9,oldsmobile cutlass salon brougham,usa,3420
301,13.2,4,105.0,70.0,79,34.2,plymouth horizon,usa,2200
302,14.9,4,105.0,70.0,79,34.5,plymouth horizon tc3,usa,2150
303,19.2,4,85.0,65.0,79,31.8,datsun 210,japan,2020
304,14.7,4,91.0,69.0,79,37.3,fiat strada custom,europe,2130
305,16.0,4,151.0,90.0,79,28.4,buick skylark limited,usa,2670
306,11.3,6,173.0,115.0,79,28.8,chevrolet citation,usa,2595
307,12.9,6,173.0,115.0,79,26.8,oldsmobile omega brougham,usa,2700
308,13.2,4,151.0,90.0,79,33.5,pontiac phoenix,usa,2556
309,14.7,4,98.0,76.0,80,41.5,vw rabbit,europe,2144
310,18.8,4,89.0,60.0,80,38.1,toyota corolla tercel,japan,1968
311,15.5,4,98.0,70.0,80,32.1,chevrolet chevette,usa,2120
312,16.4,4,86.0,65.0,80,37.2,datsun 310,japan,2019
313,16.5,4,151.0,90.0,80,28.0,chevrolet citation,usa,2678
314,18.1,4,140.0,88.0,80,26.4,ford fairmont,usa,2870
315,20.1,4,151.0,90.0,80,24.3,amc concord,usa,3003
316,18.7,6,225.0,90.0,80,19.1,dodge aspen,usa,3381
317,15.8,4,97.0,78.0,80,34.3,audi 4000,europe,2188
318,15.5,4,134.0,90.0,80,29.8,toyota corona liftback,japan,2711
319,17.5,4,120.0,75.0,80,31.3,mazda 626,japan,2542
320,15.0,4,119.0,92.0,80,37.0,datsun 510 hatchback,japan,2434
321,15.2,4,108.0,75.0,80,32.2,toyota corolla,japan,2265
322,17.9,4,86.0,65.0,80,46.6,mazda glc,japan,2110
323,14.4,4,156.0,105.0,80,27.9,dodge colt,usa,2800
324,19.2,4,85.0,65.0,80,40.8,datsun 210,japan,2110
325,21.7,4,90.0,48.0,80,44.3,vw rabbit c (diesel),europe,2085
326,23.7,4,90.0,48.0,80,43.4,vw dasher (diesel),europe,2335
327,19.9,5,121.0,67.0,80,36.4,audi 5000s (diesel),europe,2950
328,21.8,4,146.0,67.0,80,30.0,mercedes-benz 240d,europe,3250
329,13.8,4,91.0,67.0,80,44.6,honda civic 1500 gl,japan,1850
330,17.3,4,85.0,,80,40.9,renault lecar deluxe,europe,1835
331,18.0,4,97.0,67.0,80,33.8,subaru dl,japan,2145
332,15.3,4,89.0,62.0,80,29.8,vokswagen rabbit,europe,1845
333,11.4,6,168.0,132.0,80,32.7,datsun 280-zx,japan,2910
334,12.5,3,70.0,100.0,80,23.7,mazda rx-7 gs,japan,2420
335,15.1,4,122.0,88.0,80,35.0,triumph tr7 coupe,europe,2500
336,14.3,4,140.0,,80,23.6,ford mustang cobra,usa,2905
337,17.0,4,107.0,72.0,80,32.4,honda accord,japan,2290
338,15.7,4,135.0,84.0,81,27.2,plymouth reliant,usa,2490
339,16.4,4,151.0,84.0,81,26.6,buick skylark,usa,2635
340,14.4,4,156.0,92.0,81,25.8,dodge aries wagon (sw),usa,2620
341,12.6,6,173.0,110.0,81,23.5,chevrolet citation,usa,2725
342,12.9,4,135.0,84.0,81,30.0,plymouth reliant,usa,2385
343,16.9,4,79.0,58.0,81,39.1,toyota starlet,japan,1755
344,16.4,4,86.0,64.0,81,39.0,plymouth champ,usa,1875
345,16.1,4,81.0,60.0,81,35.1,honda civic 1300,japan,1760
346,17.8,4,97.0,67.0,81,32.3,subaru,japan,2065
347,19.4,4,85.0,65.0,81,37.0,datsun 210 mpg,japan,1975
348,17.3,4,89.0,62.0,81,37.7,toyota tercel,japan,2050
349,16.0,4,91.0,68.0,81,34.1,mazda glc 4,japan,1985
350,14.9,4,105.0,63.0,81,34.7,plymouth horizon 4,usa,2215
351,16.2,4,98.0,65.0,81,34.4,ford escort 4w,usa,2045
352,20.7,4,98.0,65.0,81,29.9,ford escort 2h,usa,2380
353,14.2,4,105.0,74.0,81,33.0,volkswagen jetta,europe,2190
354,15.8,4,100.0,,81,34.5,renault 18i,europe,2320
355,14.4,4,107.0,75.0,81,33.7,honda prelude,japan,2210
356,16.8,4,108.0,75.0,81,32.4,toyota corolla,japan,2350
357,14.8,4,119.0,100.0,81,32.9,datsun 200sx,japan,2615
358,18.3,4,120.0,74.0,81,31.6,mazda 626,japan,2635
359,20.4,4,141.0,80.0,81,28.1,peugeot 505s turbo diesel,europe,3230
360,19.6,6,145.0,76.0,81,30.7,volvo diesel,europe,3160
361,12.6,6,168.0,116.0,81,25.4,toyota cressida,japan,2900
362,13.8,6,146.0,120.0,81,24.2,datsun 810 maxima,japan,2930
363,15.8,6,231.0,110.0,81,22.4,buick century,usa,3415
364,19.0,8,350.0,105.0,81,26.6,oldsmobile cutlass ls,usa,3725
365,17.1,6,200.0,88.0,81,20.2,ford granada gl,usa,3060
366,16.6,6,225.0,85.0,81,17.6,chrysler lebaron salon,usa,3465
367,19.6,4,112.0,88.0,82,28.0,chevrolet cavalier,usa,2605
368,18.6,4,112.0,88.0,82,27.0,chevrolet cavalier wagon,usa,2640
369,18.0,4,112.0,88.0,82,34.0,chevrolet cavalier 2-door,usa,2395
370,16.2,4,112.0,85.0,82,31.0,pontiac j2000 se hatchback,usa,2575
371,16.0,4,135.0,84.0,82,29.0,dodge aries se,usa,2525
372,18.0,4,151.0,90.0,82,27.0,pontiac phoenix,usa,2735
373,16.4,4,140.0,92.0,82,24.0,ford fairmont futura,usa,2865
374,20.5,4,151.0,,82,23.0,amc concord dl,usa,3035
375,15.3,4,105.0,74.0,82,36.0,volkswagen rabbit l,europe,1980
376,18.2,4,91.0,68.0,82,37.0,mazda glc custom l,japan,2025
377,17.6,4,91.0,68.0,82,31.0,mazda glc custom,japan,1970
378,14.7,4,105.0,63.0,82,38.0,plymouth horizon miser,usa,2125
379,17.3,4,98.0,70.0,82,36.0,mercury lynx l,usa,2125
380,14.5,4,120.0,88.0,82,36.0,nissan stanza xe,japan,2160
